City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Chickasha,US,35.0526,-97.9364,80.85,57,0,10.36,clear sky
231,Kaiyuan,CN,23.6977,103.3037,82.89,58,11,2.57,few clouds
232,Kayes,ML,14.0,-11.0,73.29,92,98,2.57,overcast clouds
233,Sibolga,ID,1.7427,98.7792,84.76,59,99,4.56,overcast clouds
234,Zhumadian,CN,32.9794,114.0294,88.02,19,40,13.42,scattered clouds
235,Anadyr,RU,64.75,177.4833,41.5,93,75,4.47,light rain
236,Broken Hill,AU,-31.95,141.4333,67.77,33,1,8.95,clear sky
237,Beloha,MG,-25.1667,45.05,81.32,40,0,6.13,clear sky
238,Tiksi,RU,71.6872,128.8694,37.56,56,62,5.26,broken clouds
239,Mugango,TZ,-1.6833,33.7,75.33,53,91,7.67,overcast clouds
240,Auki,SB,-8.7676,160.7034,78.57,87,100,3.56,overcast clouds
241,Cape Town,ZA,-33.9258,18.4232,55.9,73,40,5.01,scattered clouds
242,Kallithea,GR,37.95,23.7,76.51,55,20,6.91,few clouds
243,Ilulissat,GL,69.2167,-51.1,34.7,99,69,5.61,broken clouds
244,Lincoln,US,40.8,-96.667,72.34,88,0,4.61,clear sky
245,Lop Buri,TH,14.7981,100.654,76.01,90,100,12.01,overcast clouds
246,Russell,US,32.3502,-85.1999,70.83,100,0,0.0,mist
247,Akhmeta,GE,42.0311,45.2075,73.92,37,0,1.68,clear sky
248,Asfi,MA,32.2994,-9.2372,68.68,87,0,2.84,clear sky
249,Margate,GB,51.3813,1.3862,53.69,75,84,5.01,broken clouds
250,Cabra,ES,37.4725,-4.4421,68.18,82,14,1.36,few clouds
251,Belaya Kholunitsa,RU,58.84,50.8528,58.53,92,99,8.81,overcast clouds
252,Sterling,US,39.0062,-77.4286,71.44,82,0,5.01,clear sky
253,Lagos,NG,6.5833,3.75,74.41,93,100,5.57,light rain
254,Lorengau,PG,-2.0226,147.2712,83.68,73,88,7.43,overcast clouds
255,Mustafakemalpasa,TR,40.0353,28.4117,66.94,54,2,8.46,clear sky
256,Cherskiy,RU,68.75,161.3,36.73,55,71,4.99,broken clouds
257,Zharkovskiy,RU,55.849,32.2697,50.68,97,99,6.69,light rain
258,Kawalu,ID,-7.3817,108.2082,80.55,69,82,5.35,broken clouds
259,Hamilton,US,39.1834,-84.5333,72.84,78,0,1.01,clear sky
260,Jawhar,SO,2.7809,45.5005,84.09,60,42,16.17,scattered clouds
261,Ixtapa,MX,20.7,-105.2,80.22,87,100,2.89,overcast clouds
262,Culleredo,ES,43.2879,-8.3886,62.42,85,0,1.99,clear sky
263,Kahului,US,20.8947,-156.47,80.62,72,0,17.27,clear sky
264,Tura,IN,25.5198,90.2201,87.69,65,96,0.51,overcast clouds
265,Cayenne,GF,4.9333,-52.3333,77.04,94,0,1.14,clear sky
266,Kavieng,PG,-2.5744,150.7967,82.71,75,87,9.26,light rain
267,Quatre Cocos,MU,-20.2078,57.7625,75.09,70,15,15.93,light rain
268,Bolton,GB,53.5833,-2.4333,53.2,97,33,1.01,scattered clouds
269,Methoni,GR,36.8197,21.7049,70.21,54,0,12.77,clear sky
270,Ponta Do Sol,PT,32.6667,-17.1,73.0,87,47,5.88,scattered clouds
271,Along,IN,28.1667,94.7667,94.17,50,63,1.83,broken clouds
272,Tigil,RU,57.8,158.6667,51.1,55,94,7.74,overcast clouds
273,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,17.27,scattered clouds
274,Ferry Pass,US,30.5102,-87.2125,77.65,88,3,1.99,clear sky
275,Manzhouli,CN,49.6,117.4333,52.21,14,2,16.75,clear sky
276,Alta Floresta,BR,-9.8756,-56.0861,70.11,95,75,3.51,very heavy rain
277,Les Cayes,HT,18.2,-73.75,78.67,82,7,9.06,clear sky
278,Guilin,CN,25.2819,110.2864,98.71,29,14,8.61,few clouds
279,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,100,23.02,overcast clouds
280,Homun,MX,20.7333,-89.2833,78.94,95,0,3.76,clear sky
281,Plettenberg Bay,ZA,-34.0527,23.3716,55.65,80,100,12.06,light rain
282,Khorol,UA,49.7837,33.2783,50.9,76,82,19.44,broken clouds
283,Abonnema,NG,4.7084,6.7931,75.49,90,99,4.61,light rain
284,Faanui,PF,-16.4833,-151.75,78.49,74,6,17.22,light rain
285,Avera,US,33.194,-82.5271,67.51,77,2,6.44,clear sky
286,Pasni,PK,25.2631,63.471,81.72,75,94,6.4,overcast clouds
287,Henties Bay,NA,-22.116,14.2845,53.42,74,0,15.05,clear sky
288,Chapais,CA,49.7834,-74.8492,40.78,73,47,4.99,scattered clouds
289,Vila Velha,BR,-20.3297,-40.2925,65.95,80,0,4.61,clear sky
290,Modugno,IT,41.0974,16.778,71.28,49,0,8.05,clear sky
291,Samus,RU,56.7475,84.6992,59.32,60,100,9.91,overcast clouds
292,Nome,US,64.5011,-165.4064,44.17,92,98,10.4,light rain
293,Tilichiki,RU,60.4667,166.1,45.63,57,4,6.82,clear sky
294,Sao Joao Da Barra,BR,-21.6403,-41.0511,61.84,84,0,6.04,clear sky
295,Magan,ES,39.9683,-3.931,71.53,59,100,3.38,overcast clouds
296,Palaikastron,GR,35.2,26.25,76.77,60,0,11.86,clear sky
297,Omboue,GA,-1.5746,9.2618,75.94,85,100,8.52,light rain
298,Moindou,NC,-21.6924,165.677,78.67,65,3,4.85,clear sky
299,Victoria,HK,22.2855,114.1577,93.25,75,52,5.01,broken clouds
300,Cabedelo,BR,-6.9811,-34.8339,72.27,81,5,11.48,clear sky
301,Muros,ES,42.7762,-9.0603,61.84,84,70,6.42,broken clouds
302,Nowa Deba,PL,50.4297,21.7508,49.95,89,79,9.84,broken clouds
303,Hirara,JP,24.8,125.2833,84.47,74,75,14.97,broken clouds
304,Pinheiro,BR,-2.5214,-45.0825,71.19,99,80,2.66,broken clouds
305,Sao Sebastiao,BR,-23.76,-45.4097,61.34,86,8,6.35,clear sky
306,Deputatskiy,RU,69.3,139.9,34.75,67,100,5.44,overcast clouds
307,Port Keats,AU,-14.25,129.55,88.3,50,43,12.82,scattered clouds
308,Tabas,IR,33.5959,56.9244,88.79,15,0,2.57,clear sky
309,Valmiera,LV,57.5411,25.4275,49.15,90,100,6.29,overcast clouds
310,Strezhevoy,RU,60.7333,77.5889,58.42,63,37,18.45,scattered clouds
311,Linxia,CN,35.6003,103.2064,52.11,90,100,3.22,overcast clouds
312,Rzhev,RU,56.2624,34.3282,50.13,92,83,13.44,broken clouds
313,Monte Carmelo,BR,-18.7247,-47.4986,66.6,69,45,5.46,scattered clouds
314,Umm Lajj,SA,25.0213,37.2685,85.89,42,3,13.29,clear sky
315,Khowai,IN,24.1,91.6333,87.58,66,74,2.33,broken clouds
